T,p1,p2,p5,p10
2.130000000000000338e+00,6.889390175013333506e-01,7.550148750068432779e-01,8.629702070539481129e-01,9.585995663385916687e-01
2.140000000000000568e+00,6.957313834110581130e-01,7.645568701430962566e-01,8.777825413197606341e-01,9.762385296152589209e-01
2.150000000000000355e+00,7.026654021524694205e-01,7.743779114388616991e-01,8.933269567634740671e-01,9.945218175433370167e-01
2.160000000000000142e+00,7.097550112433738123e-01,7.845187536403842588e-01,9.096874431335778555e-01,1.013627748136514128e+00
2.170000000000000373e+00,7.170161302516576685e-01,7.950263694755934640e-01,9.269527879851582330e-01,1.033792654312471138e+00
2.180000000000000604e+00,7.244694254371355502e-01,8.059534108006973785e-01,9.452135184595537032e-01,1.055330627028894686e+00
2.190000000000000391e+00,7.321449787500712292e-01,8.173581678416754759e-01,9.645571092242734013e-01,1.078662314815126644e+00
2.200000000000000178e+00,7.400877238161741589e-01,8.293081371846257044e-01,9.850648624798453712e-01,1.104358047321341241e+00
2.210000000000000409e+00,7.483597857849134671e-01,8.418933502918337641e-01,1.006825764044983140e+00,1.133202780381204144e+00
2.220000000000000639e+00,7.570378656218681446e-01,8.552584188059600967e-01,1.030008417810535537e+00,1.166292147898318143e+00
2.230000000000000426e+00,7.662192228208298816e-01,8.696651889650298672e-01,1.055079125720226552e+00,1.205161099191443208e+00
2.240000000000000213e+00,7.760816990298736728e-01,8.855995328360678487e-01,1.083330013358363653e+00,1.251896577798561561e+00
2.250000000000000444e+00,7.869865769061236138e-01,9.038898259872143459e-01,1.118001959010683999e+00,1.308886407258569529e+00
2.260000000000000675e+00,7.997315567997990149e-01,9.263569274242658969e-01,1.166174330133884940e+00,1.380109859026035668e+00
2.270000000000000462e+00,8.146286053944964411e-01,9.565823725710134173e-01,1.241695827638445104e+00,1.516056630128659766e+00
2.280000000000000249e+00,7.943202380644721616e-01,9.190513056189787422e-01,1.153856547908560737e+00,1.363732048620392101e+00
2.290000000000000480e+00,7.793122689214727616e-01,8.949516384060276497e-01,1.106239348951376877e+00,1.293866892049245099e+00
2.300000000000000711e+00,7.661135390968357717e-01,8.747725191771140718e-01,1.070912571332627738e+00,1.237343703452964849e+00
2.310000000000000497e+00,7.540382496262767464e-01,8.569818580905776972e-01,1.041581195320162800e+00,1.190918767401961009e+00
2.320000000000000284e+00,7.427492668909964069e-01,8.408055915865021435e-01,1.015450255508199229e+00,1.152108057631551441e+00
2.330000000000000515e+00,7.320755218698240530e-01,8.257914355791486916e-01,9.913816375561882444e-01,1.118898434029347744e+00
2.340000000000000746e+00,7.219171228012303265e-01,8.116863939378052839e-01,9.689235362042584176e-01,1.089844344130952880e+00
2.350000000000000533e+00,7.121962310563392240e-01,7.983412687373461214e-01,9.478756153313840915e-01,1.063925251854058951e+00
2.360000000000000320e+00,7.028500189498744222e-01,7.856576990938892724e-01,9.281138266103996504e-01,1.040414914861287565e+00
2.370000000000000551e+00,6.938310292969875892e-01,7.735613364800999481e-01,9.095314199392137144e-01,1.018788432136652711e+00
2.380000000000000782e+00,6.851048601408395999e-01,7.619899685185064220e-01,8.920252808231058372e-01,9.986600988920462108e-01
2.390000000000000568e+00,6.766460883556036920e-01,7.508892241059329509e-01,8.754961426449273665e-01,9.797423185631263243e-01
2.400000000000000355e+00,6.684347710006478538e-01,7.402113482157802737e-01,8.598509829482737787e-01,9.618180705217584947e-01
2.410000000000000586e+00,6.604540175292330506e-01,7.299148628314713338e-01,8.450045625574278407e-01,9.447220699110305819e-01
2.420000000000000817e+00,6.526886806135226982e-01,7.199641187405350085e-01,8.308798327316683219e-01,9.283275599525356858e-01
2.430000000000000604e+00,6.451249267591665504e-01,7.103287181253750138e-01,8.174077064815324922e-01,9.125368154316861879e-01
2.440000000000000391e+00,6.377500130483327867e-01,7.009828317450230717e-01,8.045265104072997220e-01,8.972741915691531123e-01
2.450000000000000622e+00,6.305523132521531071e-01,6.919044419184674499e-01,7.921813018674230822e-01,8.824809216934073053e-01
2.460000000000000853e+00,6.235213318728229925e-01,6.830747959796216184e-01,7.803232360537041279e-01,8.681111782493647899e-01
2.470000000000000639e+00,6.166476893199048792e-01,6.744777345613075514e-01,7.689089202767011022e-01,8.541291025032652362e-01
2.480000000000000426e+00,6.099230939327072720e-01,6.660993277307626359e-01,7.578998349444534544e-01,8.405064390970552468e-01
2.490000000000000657e+00,6.033402142557877657e-01,6.579274278850635316e-01,7.472618015436085503e-01,8.272207604775874135e-01
2.500000000000000888e+00,5.968925365085200330e-01,6.499513993674101986e-01,7.369645049770670031e-01,8.142540697253511928e-01
2.510000000000000675e+00,5.905743217482496421e-01,6.421618038121580385e-01,7.269810365473363678e-01,8.015917000570029760e-01
2.520000000000000462e+00,5.843804238914176441e-01,6.345502371551959842e-01,7.172875458394403214e-01,7.892215314875274945e-01
2.530000000000000693e+00,5.783062018371867286e-01,6.271091497289662531e-01,7.078628352363838250e-01,7.771332735950766679e-01
2.540000000000000924e+00,5.723474066066105426e-01,6.198316412042716994e-01,6.986880525516884211e-01,7.653180457634082279e-01
2.550000000000000711e+00,5.665001323373887177e-01,6.127114313914108212e-01,6.897464734700877731e-01,7.537679544533663067e-01
2.560000000000000497e+00,5.607607363344869755e-01,6.057426855932136478e-01,6.810231707277126789e-01,7.424758371143982405e-01
2.570000000000000728e+00,5.551258095426448991e-01,5.989200101286230593e-01,6.725048752631581639e-01,7.314350645959424302e-01
2.580000000000000959e+00,5.495921037734776693e-01,5.922383111389708521e-01,6.641797162920685116e-01,7.206393728953489619e-01
2.590000000000000746e+00,5.441565031016895038e-01,5.856928131775520630e-01,6.560370821251384488e-01,7.100827573802706016e-01
2.600000000000000533e+00,5.388160926322883570e-01,5.792789879777161532e-01,6.480674677789012295e-01,6.997594116597840586e-01
2.610000000000000764e+00,5.335680270812660497e-01,5.729925265862692019e-01,6.402623520163077675e-01,6.896636776065891983e-01
2.620000000000000995e+00,5.284095707391858188e-01,5.668293130245418698e-01,6.326140605050770693e-01,6.797899812749366166e-01
2.630000000000000782e+00,5.233381184321930224e-01,5.607854275702097713e-01,6.251156673720006385e-01,6.701328816793863385e-01
2.640000000000000568e+00,5.183511441941847098e-01,5.548570901936501487e-01,6.177609139967900065e-01,6.606869728642552619e-01
2.650000000000000799e+00,5.134462345957049312e-01,5.490407132047182559e-01,6.105441314518957885e-01,6.514469554463888645e-01
2.660000000000001030e+00,5.086210507077029153e-01,5.433328156012608989e-01,6.034601608373437731e-01,6.424075998445747393e-01
2.670000000000000817e+00,5.038733733186975261e-01,5.377300776521211079e-01,5.965043035249808501e-01,6.335637643051230672e-01
2.680000000000000604e+00,4.992010455673325242e-01,5.322292930820539114e-01,5.896722152698431474e-01,6.249103715916251023e-01
2.690000000000000835e+00,4.946020169516175957e-01,5.268274025116428394e-01,5.829599565920775550e-01,6.164424519594648988e-01
2.700000000000001066e+00,4.900743103330998385e-01,5.215214460285724218e-01,5.763638618372370903e-01,6.081551354508720753e-01
2.710000000000000853e+00,4.856160507227260670e-01,5.163085976533923205e-01,5.698805483334015154e-01,6.000436318887027998e-01
2.720000000000000639e+00,4.812254088903956672e-01,5.111861352702364858e-01,5.635068760767582008e-01,5.921032791889048186e-01
2.730000000000000870e+00,4.769006782412434364e-01,5.061514486071062580e-01,5.572399027409248307e-01,5.843295090057767371e-01
2.740000000000001101e+00,4.726402121946196022e-01,5.012020278538644735e-01,5.510768789385169786e-01,5.767178662807740386e-01
2.750000000000000888e+00,4.684423979828268858e-01,4.963354507392383486e-01,5.450152164021562218e-01,5.692639876153651191e-01
2.760000000000000675e+00,4.643057340203428085e-01,4.915494280943734640e-01,5.390524860082736014e-01,5.619636673337427002e-01
2.770000000000000906e+00,4.602287674604356726e-01,4.868417285663896865e-01,5.331863763036184256e-01,5.548127797494475377e-01
2.780000000000001137e+00,4.562101044136570027e-01,4.822102164414590053e-01,5.274146769718159877e-01,5.478073033504674560e-01
2.790000000000000924e+00,4.522484215918611272e-01,4.776528543093407908e-01,5.217353151509841469e-01,5.409433627834305813e-01
