T,k1,k2,k4,k6,k12
1.355000000000000426e+00,4.089727198919314577e-01,5.993536180293193016e-01,5.954253651130338998e-01,5.663333631733549201e-01,5.665946998389961298e-01
1.360000000000000542e+00,4.084126175563086991e-01,6.007382564909848899e-01,6.016879678583111346e-01,5.711107503714176747e-01,5.713699180276423650e-01
1.365000000000000657e+00,4.078304956245395463e-01,6.020424079966616437e-01,6.079901028999138424e-01,5.759126044890819918e-01,5.761683647020902077e-01
1.370000000000000551e+00,4.072268335741925926e-01,6.032665218946855479e-01,6.143273907177617676e-01,5.807398086132844472e-01,5.809906053921846114e-01
1.375000000000000444e+00,4.066021067616888418e-01,6.044110837377660861e-01,6.206949970388733195e-01,5.855933507825652473e-01,5.858372328637619919e-01
1.380000000000000560e+00,4.059567849745706059e-01,6.054766238783318988e-01,6.270876392422410905e-01,5.904743339479880948e-01,5.907088711509802526e-01
1.385000000000000675e+00,4.052913337249111070e-01,6.064637080993587892e-01,6.334995647638844707e-01,5.953840002603796311e-01,5.956061704426310888e-01
1.390000000000000568e+00,4.046062146501052115e-01,6.073729416122832792e-01,6.399245674537649142e-01,6.003237484364379872e-01,6.005298169720065804e-01
1.395000000000000462e+00,4.039018834489651044e-01,6.082049660105506295e-01,6.463559784197772107e-01,6.052951650803441996e-01,6.054805304134271982e-01
1.400000000000000577e+00,4.031787905756091805e-01,6.089604545955753512e-01,6.527866720507095044e-01,6.103000432577945222e-01,6.104590646316412350e-01
1.405000000000000693e+00,4.024373819533357821e-01,6.096401191391102037e-01,6.592090829193878454e-01,6.153404266728838001e-01,6.154662177970674497e-01
1.410000000000000586e+00,4.016781034654750560e-01,6.102447023836891082e-01,6.656152100359417068e-01,6.204186425073923150e-01,6.205028289318906820e-01
1.415000000000000480e+00,4.009013860661882478e-01,6.107749716333102930e-01,6.719966304324922479e-01,6.255373282748613040e-01,6.255697765689129941e-01
1.420000000000000595e+00,4.001076611626077084e-01,6.112317314377337940e-01,6.783445327096518929e-01,6.306994950922021337e-01,6.306679962886366786e-01
1.425000000000000711e+00,3.992973570288163021e-01,6.116158112301487426e-01,6.846497267287703359e-01,6.359085630736064365e-01,6.357984723537328797e-01
1.430000000000000604e+00,3.984708926063619816e-01,6.119280634941939301e-01,6.909026844104108056e-01,6.411684176654832701e-01,6.409622561398545804e-01
1.435000000000000497e+00,3.976286839235678161e-01,6.121693736804715291e-01,6.970935649164292647e-01,6.464834514141595267e-01,6.461604543506196396e-01
1.440000000000000613e+00,3.967711394636810329e-01,6.123406405933454755e-01,7.032122490713280660e-01,6.518586198822621247e-01,6.513942483010739526e-01
1.445000000000000728e+00,3.958986660279608660e-01,6.124427964715465356e-01,7.092483906123718818e-01,6.572994992060102737e-01,6.566649036410248108e-01
1.450000000000000622e+00,3.950116612028155560e-01,6.124767869208905813e-01,7.151914482750324487e-01,6.628123176199987032e-01,6.619737622282075851e-01
1.455000000000000515e+00,3.941105195659490579e-01,6.124435811194486323e-01,7.210307418392682965e-01,6.684039896964758531e-01,6.673222596542685014e-01
1.460000000000000631e+00,3.931956296243656612e-01,6.123441627847727720e-01,7.267554967116399700e-01,6.740821510842213149e-01,6.727119363025838572e-01
1.465000000000000746e+00,3.922673745959672775e-01,6.121795362434848675e-01,7.323548962578922961e-01,6.798551443021331187e-01,6.781444342929269231e-01
1.470000000000000639e+00,3.913261328847285614e-01,6.119507221824530552e-01,7.378181472716963674e-01,6.857320059783237332e-01,6.836215178340768750e-01
1.475000000000000533e+00,3.903722762765850507e-01,6.116587526583397993e-01,7.431345208752663245e-01,6.917224038338611880e-01,6.891450726742578414e-01
1.480000000000000648e+00,3.894061710596476988e-01,6.113046738942532476e-01,7.482934296909607985e-01,6.978365274878942648e-01,6.947171245652586924e-01
1.485000000000000764e+00,3.884281798305357913e-01,6.108895448497800862e-01,7.532844722191183173e-01,7.040849521411378653e-01,7.003398488336647354e-01
1.490000000000000657e+00,3.874386590396740604e-01,6.104144360952192816e-01,7.580974948950828241e-01,7.104783812561524803e-01,7.060155787819158979e-01
1.495000000000000551e+00,3.864379588136569454e-01,6.098804230225688405e-01,7.627226589435046611e-01,7.170273756695879630e-01,7.117468334694180276e-01
1.500000000000000666e+00,3.854264257752150757e-01,6.092886015718338433e-01,7.671504974604562710e-01,7.237419480388144200e-01,7.175363336831001027e-01
1.505000000000000782e+00,3.844043972345281279e-01,6.086400591631683232e-01,7.713719571200710057e-01,7.306310607113624123e-01,7.233870281997405449e-01
1.510000000000000675e+00,3.833722113610883997e-01,6.079359003718922683e-01,7.753784747532859178e-01,7.377020316634567143e-01,7.293021295673444149e-01
1.515000000000000568e+00,3.823301967054161810e-01,6.071772287186141259e-01,7.791620115471523667e-01,7.449598025355278486e-01,7.352851478414915709e-01
1.520000000000000684e+00,3.812786760271082431e-01,6.063651584753418922e-01,7.827151103434464297e-01,7.524061097186066638e-01,7.413399492151032666e-01
1.525000000000000799e+00,3.802179691869691514e-01,6.055008013150512403e-01,7.860309382934365097e-01,7.600385284745052594e-01,7.474707943877505478e-01
1.530000000000000693e+00,3.791483906634420809e-01,6.045852710467871649e-01,7.891033264018081361e-01,7.678494344154355167e-01,7.536824071441299289e-01
1.535000000000000586e+00,3.780702480449262270e-01,6.036196891323623026e-01,7.919268014433548108e-01,7.758249203959625140e-01,7.599800383706337703e-01
1.540000000000000702e+00,3.769838442568841930e-01,6.026051674057344432e-01,7.944966247697142769e-01,7.839436860157538156e-01,7.663695315329737134e-01
1.545000000000000817e+00,3.758894791494606924e-01,6.015428261374470287e-01,7.968088117382703395e-01,7.921759873774640859e-01,7.728574328480513067e-01
1.550000000000000711e+00,3.747874449233636329e-01,6.004337790743722314e-01,7.988601437025625307e-01,8.004827167118482301e-01,7.794510628156285925e-01
1.555000000000000604e+00,3.736780297558530139e-01,5.992791354569874107e-01,8.006481986344574642e-01,8.088147201767984518e-01,7.861586897572884203e-01
1.560000000000000719e+00,3.725615159577701507e-01,5.980800072791228050e-01,8.021713426042968997e-01,8.171124461320292687e-01,7.929896964409269833e-01
