T,p1,p2,p5,p10
1.809999999999995612e+00,6.822162217190436140e-01,7.025297895779641921e-01,7.365667129821655834e-01,7.514968606869825152e-01
1.814999999999995506e+00,6.943568744777178781e-01,7.144552832349919669e-01,7.517531889256171551e-01,7.672366128086398618e-01
1.819999999999995399e+00,7.079708211765716186e-01,7.273891470127562542e-01,7.680856387182170009e-01,7.849952829097597284e-01
1.824999999999995293e+00,7.236207941740938621e-01,7.415213095329757920e-01,7.856729899891037316e-01,8.052064841668185036e-01
1.829999999999995186e+00,7.424027434810278603e-01,7.571191247279764891e-01,8.046369583958302707e-01,8.284039118544562763e-01
1.834999999999995079e+00,7.668682806327687951e-01,7.746045737988517255e-01,8.251238832812625157e-01,8.552553322260768587e-01
1.839999999999994973e+00,8.092133678871937796e-01,7.947149707376844896e-01,8.473431522304485375e-01,8.866158432141422185e-01
1.844999999999994866e+00,8.008826937633251042e-01,8.188241911910565385e-01,8.716833628108465737e-01,9.236119171074338441e-01
1.849999999999994760e+00,7.944976020191041322e-01,8.495537100916527029e-01,8.990371063610754776e-01,9.677697690113591378e-01
1.854999999999994653e+00,7.877142904177936167e-01,8.937216014581724766e-01,9.316445200946406047e-01,1.021192659766964494e+00
1.859999999999994547e+00,7.817486440853094187e-01,9.702942990674727763e-01,9.751528180412776248e-01,1.086776323013790790e+00
1.864999999999994440e+00,7.750672486461750443e-01,9.420093351053510089e-01,1.043437138250610463e+00,1.169475747802014354e+00
1.869999999999994333e+00,7.678882700723453913e-01,9.199470644194436275e-01,1.174310905649452508e+00,1.345730194932666546e+00
1.874999999999994227e+00,7.611051064393391519e-01,9.019757241102128731e-01,1.260386332802006626e+00,1.588421784104449674e+00
1.879999999999994120e+00,7.547640798932752082e-01,8.894197213749038822e-01,1.167889811064522831e+00,1.301307869265851291e+00
1.884999999999994014e+00,7.484404311397495624e-01,8.761905883791748506e-01,1.127909676088553192e+00,1.227995333132888112e+00
1.889999999999993907e+00,7.417983791224690426e-01,8.612358839688000200e-01,1.089000681591120179e+00,1.199177551618465065e+00
1.894999999999993801e+00,7.347661203516130390e-01,8.454251888911884505e-01,1.045364144252044269e+00,1.163580558918294150e+00
1.899999999999993694e+00,7.274691711245371284e-01,8.299764814090311305e-01,9.993190504431449517e-01,1.126530094763818601e+00
1.904999999999993587e+00,7.201046063776116446e-01,8.158292374593729690e-01,9.582601730850870414e-01,1.092465416503425990e+00
1.909999999999993481e+00,7.128451646298804567e-01,8.033372595006554873e-01,9.262208280436081687e-01,1.062373951770108960e+00
1.914999999999993374e+00,7.057947537103512747e-01,7.923488684502517643e-01,9.024485045894228286e-01,1.035717002908494777e+00
1.919999999999993268e+00,6.989844666804831963e-01,7.824690894153690790e-01,8.843158116178497785e-01,1.011627825562296579e+00
1.924999999999993161e+00,6.923901431199450673e-01,7.732758646405962777e-01,8.694533281894371024e-01,9.893241874725475782e-01
1.929999999999993054e+00,6.859559761762643593e-01,7.644255443484099244e-01,8.563061563471277005e-01,9.681900800684283270e-01
1.934999999999992948e+00,6.796154334698354393e-01,7.556781526529804394e-01,8.440018820232678687e-01,9.477638475030546461e-01
1.939999999999992841e+00,6.733060058028403905e-01,7.468852554914890973e-01,8.321039719927338929e-01,9.277116409211992876e-01
1.944999999999992735e+00,6.669778494683396008e-01,7.379671041740615278e-01,8.204219292551299114e-01,9.078047937638411558e-01
1.949999999999992628e+00,6.605974135709378192e-01,7.288910617075901044e-01,8.088923157956143806e-01,8.879026609953621918e-01
1.954999999999992522e+00,6.541476164856316888e-01,7.196549419830029493e-01,7.975105687241216268e-01,8.679389928811753752e-01
1.959999999999992415e+00,6.476259388143976725e-01,7.102754891441493967e-01,7.862940710623403939e-01,8.479099271596591825e-01
1.964999999999992308e+00,6.410414681146090476e-01,7.007808492831529845e-01,7.752634683755280642e-01,8.278623759649906821e-01
1.969999999999992202e+00,6.344115973133643838e-01,6.912058630259537706e-01,7.644343096258024994e-01,8.078821321832987401e-01
1.974999999999992095e+00,6.277588144309983464e-01,6.815891120837109796e-01,7.538142277940776959e-01,7.880817839644973510e-01
1.979999999999991989e+00,6.211078991924499082e-01,6.719709282609871437e-01,7.434029856501181976e-01,7.685888005237697662e-01
1.984999999999991882e+00,6.144836589028177531e-01,6.623918970327631328e-01,7.331938107757423051e-01,7.495343245467159798e-01
1.989999999999991775e+00,6.079092147448480477e-01,6.528915591807988861e-01,7.231751234471033296e-01,7.310434062901519647e-01
1.994999999999991669e+00,6.014048160074533245e-01,6.435073143751219860e-01,7.133323077490564268e-01,7.132272154142220710e-01
1.999999999999991562e+00,5.949871741961462179e-01,6.342733955833042003e-01,7.036491558309847516e-01,6.961774241531741847e-01
2.004999999999991456e+00,5.886691608147894827e-01,6.252200013090433162e-01,6.941091171142026450e-01,6.799630146536699282e-01
2.009999999999991349e+00,5.824598012438262362e-01,6.163726895413975670e-01,6.846961799533672899e-01,6.646291855671976334e-01
2.014999999999991243e+00,5.763645404077675227e-01,6.077519325953214535e-01,6.753955374083601138e-01,6.501980838113902150e-01
2.019999999999991136e+00,5.703856145000659739e-01,5.993730430020578481e-01,6.661939847063507170e-01,6.366709081007089210e-01
2.024999999999991029e+00,5.645225359174308455e-01,5.912462080925858787e-01,6.570802270289248792e-01,6.240308744742656399e-01
2.029999999999990923e+00,5.587725553235475262e-01,5.833767947205333870e-01,6.480449850920748656e-01,6.122466118618746789e-01
2.034999999999990816e+00,5.531312042417166897e-01,5.757658067540001312e-01,6.390809988876504644e-01,6.012756906281753189e-01
2.039999999999990710e+00,5.475927309994663705e-01,5.684104417014143040e-01,6.301830437749316172e-01,5.910678940956843874e-01
2.044999999999990603e+00,5.421505551939074241e-01,5.613047108066179236e-01,6.213478020278244696e-01,5.815682213428070568e-01
2.049999999999990496e+00,5.367975888459473044e-01,5.544400161205916833e-01,6.125737330275854431e-01,5.727193345128585023e-01
2.054999999999990390e+00,5.315265797300992023e-01,5.478058214514167634e-01,6.038609375535991530e-01,5.644636110324592337e-01
2.059999999999990283e+00,5.263303646518810996e-01,5.413901524242678009e-01,5.952109621354367830e-01,5.567446762899638246e-01
2.064999999999990177e+00,5.212020438949390710e-01,5.351801389963358746e-01,5.866266488641053156e-01,5.495085550766251048e-01
2.069999999999990070e+00,5.161351223215124850e-01,5.291624245185009290e-01,5.781119285286324683e-01,5.427044220818163511e-01
2.074999999999989964e+00,5.111236579868869701e-01,5.233235246482311753e-01,5.696716243508399558e-01,5.362851019596855950e-01
2.079999999999989857e+00,5.061623010504920916e-01,5.176501342418735607e-01,5.613112933389147186e-01,5.302072905521956203e-01
2.084999999999989750e+00,5.012463118436703002e-01,5.121293340404318162e-01,5.530370411288538790e-01,5.244316304286985586e-01
2.089999999999989644e+00,4.963716375572223005e-01,5.067487761412057257e-01,5.448553247600047555e-01,5.189226363988527213e-01
2.094999999999989537e+00,4.915348354739255687e-01,5.014967706307136286e-01,5.367728204497241862e-01,5.136485419798805241e-01
2.099999999999989431e+00,4.867330956947999998e-01,4.963624143705633318e-01,5.287962698385912930e-01,5.085810664606758014e-01
2.104999999999989324e+00,4.819642070552608293e-01,4.913355934199589714e-01,5.209323324240040520e-01,5.036951872905400807e-01
2.109999999999989218e+00,4.772264877717067866e-01,4.864070134491502717e-01,5.131874583774705956e-01,4.989688561041180637e-01
2.114999999999989111e+00,4.725187722898180898e-01,4.815681975589545250e-01,5.055678084175926346e-01,4.943827119885365606e-01
2.119999999999989004e+00,4.678403404234618979e-01,4.768114763820083812e-01,4.980791330488873458e-01,4.899198466290474174e-01
2.124999999999988898e+00,4.631908803176519318e-01,4.721298976773067313e-01,4.907267067699702667e-01,4.855655212909734675e-01
2.129999999999988791e+00,4.585704375692476464e-01,4.675172943580083729e-01,4.835152642668180678e-01,4.813069522002751954e-01
2.134999999999988685e+00,4.539793284807889795e-01,4.629681248458059617e-01,4.764489594966089814e-01,4.771330602770771367e-01
2.139999999999988578e+00,4.494181651271110245e-01,4.584774887561569034e-01,4.695313347458071607e-01,4.730343025371983035e-01
2.144999999999988471e+00,4.448877216489653952e-01,4.540410836306716380e-01,4.627652864974660107e-01,4.690024712994375622e-01
2.149999999999988365e+00,4.403889800386172615e-01,4.496551132104873449e-01,4.561530729363358905e-01,4.650305418740760532e-01
2.154999999999988258e+00,4.359230176742533436e-01,4.453162651429896091e-01,4.496963187960976160e-01,4.611125073661323515e-01
2.159999999999988152e+00,4.314910208336163455e-01,4.410216700634326803e-01,4.433960079097662987e-01,4.572432608540541454e-01
2.164999999999988045e+00,4.270942195416770337e-01,4.367688590622951783e-01,4.372525372930955445e-01,4.534184921012293645e-01
2.169999999999987939e+00,4.227339014839491815e-01,4.325556906126213907e-01,4.312657210059332447e-01,4.496345605176064186e-01
2.174999999999987832e+00,4.184113140626143368e-01,4.283803565874298447e-01,4.254348192733712897e-01,4.458884077629374221e-01
2.179999999999987725e+00,4.141277209601644804e-01,4.242413244082119950e-01,4.197586136012153579e-01,4.421775077556564515e-01
2.184999999999987619e+00,4.098843352862124312e-01,4.201373055101574328e-01,4.142354024727600281e-01,4.384997576756230475e-01
2.189999999999987512e+00,4.056823257192453958e-01,4.160672311082057595e-01,4.088630758358723361e-01,4.348534412956770456e-01
2.194999999999987406e+00,4.015227886244842059e-01,4.120302256405116159e-01,4.036391477923983451e-01,4.312371849168858406e-01
2.199999999999987299e+00,3.974067461776064625e-01,4.080255661342823137e-01,3.985607907708276776e-01,4.276498569488726975e-01
2.204999999999987192e+00,3.933351337037626627e-01,4.040527046345031570e-01,3.936249133040780612e-01,4.240905953212223967e-01
2.209999999999987086e+00,3.893087809680984002e-01,4.001111839357894828e-01,3.888281515651547671e-01,4.205587370842398531e-01
2.214999999999986979e+00,3.853284463439776708e-01,3.962006898539071620e-01,3.841669631232646487e-01,4.170537824221807188e-01
2.219999999999986873e+00,3.813947883646284231e-01,3.923209819411942467e-01,3.796376401776746512e-01,4.135753729350686858e-01
2.224999999999986766e+00,3.775083448065408298e-01,3.884719022906301666e-01,3.752363150866222519e-01,4.101232834341471123e-01
2.229999999999986660e+00,3.736695630029962523e-01,3.846533557272357462e-01,3.709590709632926142e-01,4.066973809235794879e-01
2.234999999999986553e+00,3.698787978301232293e-01,3.808653185033405442e-01,3.668018919933380695e-01,4.032976108003770155e-01
2.239999999999986446e+00,3.661363106743897866e-01,3.771078073100375128e-01,3.627607613054784075e-01,3.999239957863641171e-01
2.244999999999986340e+00,3.624422484604906125e-01,3.733808668049376500e-01,3.588316126079660884e-01,3.965766089120113524e-01
2.249999999999986233e+00,3.587966833640244269e-01,3.696845829459482480e-01,3.550104290539458085e-01,3.932555511232370127e-01
2.254999999999986127e+00,3.551996140149760728e-01,3.660190734655599520e-01,3.512932052296391938e-01,3.899609806556879055e-01
2.259999999999986020e+00,3.516509376222365924e-01,3.623844541245069273e-01,3.476760009579727972e-01,3.866930584894821554e-01
2.264999999999985913e+00,3.481504841018590590e-01,3.587808759286637006e-01,3.441549334448602560e-01,3.834519695167213915e-01
2.269999999999985807e+00,3.446979901866576990e-01,3.552085003377647432e-01,3.407261945076435206e-01,3.802378976169838443e-01
2.274999999999985700e+00,3.412931772639438699e-01,3.516674650483309073e-01,3.373860801403317788e-01,3.770510529355040608e-01
2.279999999999985594e+00,3.379356540733603476e-01,3.481579424757774710e-01,3.341309789384162565e-01,3.738916306694738401e-01
2.284999999999985487e+00,3.346250058533485339e-01,3.446801005790845474e-01,3.309573765863917383e-01,3.707598159863300102e-01
2.289999999999985381e+00,3.313607524679774707e-01,3.412340875730258127e-01,3.278618868263173947e-01,3.676558093479419531e-01
2.294999999999985274e+00,3.281423640810722797e-01,3.378200735149028966e-01,3.248412206424668436e-01,3.645797767481949725e-01
